Target ISOs: 3403
Filter: count < 50
Allow fillers: false

iso | premixCount | grade
emg | 12 | emg_unq1,emg_unq2,emg_unq3,emg_unq4,emg_unq5
en-kra | 12 | en-kra_unq1,en-kra_unq2,en-kra_unq3,en-kra_unq4,en-kra_unq5
eno | 12 | eno_unq1,eno_unq2,eno_unq3,eno_unq4,eno_unq5
evenki | 12 | evenki_unq1,evenki_unq2,evenki_unq3,evenki_unq4,evenki_unq5
gelao | 12 | gelao_unq1,gelao_unq2,gelao_unq3,gelao_unq4,gelao_unq5
georgian | 12 | georgian_unq1,georgian_unq2,georgian_unq3,georgian_unq4,georgian_unq5
ghale | 12 | ghale_unq1,ghale_unq2,ghale_unq3,ghale_unq4,ghale_unq5
gorap | 12 | gorap_unq1,gorap_unq2,gorap_unq3,gorap_unq4,gorap_unq5
harari | 12 | harari_unq1,harari_unq2,harari_unq3,harari_unq4,harari_unq5
harari-east-gurage | 12 | harari-east-gurage_unq1,harari-east-gurage_unq2,harari-east-gurage_unq3,harari-east-gurage_unq4,harari-east-gurage_unq5
hlai | 12 | hlai_unq1,hlai_unq2,hlai_unq3,hlai_unq4,hlai_unq5
hno | 12 | hno_unq1,hno_unq2,hno_unq3,hno_unq4,hno_unq5
hozo | 12 | hozo_unq1,hozo_unq2,hozo_unq3,hozo_unq4,hozo_unq5
ili-turki | 12 | ili-turki_unq1,ili-turki_unq2,ili-turki_unq3,ili-turki_unq4,ili-turki_unq5
ixc | 12 | ixc_unq1,ixc_unq2,ixc_unq3,ixc_unq4,ixc_unq5
jav | 12 | jav_unq1,jav_unq2,jav_unq3,jav_unq4,jav_unq5
jee | 12 | jee_unq1,jee_unq2,jee_unq3,jee_unq4,jee_unq5
kamas | 12 | kamas_unq1,kamas_unq2,kamas_unq3,kamas_unq4,kamas_unq5
kazakh | 12 | kazakh_unq1,kazakh_unq2,kazakh_unq3,kazakh_unq4,kazakh_unq5
kfq | 12 | kfq_unq1,kfq_unq2,kfq_unq3,kfq_unq4,kfq_unq5
kosa-kama | 12 | kosa-kama_unq1,kosa-kama_unq2,kosa-kama_unq3,kosa-kama_unq4,kosa-kama_unq5
kx-ao-ae | 12 | kx-ao-ae_unq1,kx-ao-ae_unq2,kx-ao-ae_unq3,kx-ao-ae_unq4,kx-ao-ae_unq5
kyrgyz | 12 | kyrgyz_unq1,kyrgyz_unq2,kyrgyz_unq3,kyrgyz_unq4,kyrgyz_unq5
