iso	name	region	category	family	tags	tags_catalog	tags_auto	has_catalog_wikipedia_url	in_catalog	in_mixer_map	mixer_ready	bases	base_count	has_invalid_bases	invalid_bases	has_unique_base	base_set_key	base_set_cluster_size	wiki_lists	wiki_lists_direct	wiki_lists_inferred	wiki_inferred_by	wiki_titles	wiki_sources	wiki_names	wiki_items_count
yemeni-arabic	Yemeni Arabic	Middle East	Afroasiatic	Peninsular				false	true	true	true	18	1	false		false	18	34								0
yeniseian	Yeniseian	Siberia	Yeniseian	Yeniseian				false	true	true	true	19	1	false		false	19	35								0
yeongdong-dialect	Yeongdong Korean	East Asia	Koreanic	South Korean				false	true	true	true	10,12,30,68,69	5	false		false	10,12,30,68,69	1								0
yeongseo-dialect	Yeongseo Korean	East Asia	Koreanic	South Korean	space		space	false	true	true	true	10,12,31,68,69	5	false		false	10,12,31,68,69	1								0
yerukala	Yerukala	Asia	Dravidian	South Dravidian	space		space	false	true	true	true	372,375	2	false		false	372,375	1	tools/mixer-meta/wikipedia-languages-of-asia-official-languages.json;tools/mixer-meta/wikipedia-languages-of-south-asia.json;tools/mixer-meta/wikipedia-languages-of-southeast-asia.json;tools/mixer-meta/wikipedia-languages-of-west-asia.json		tools/mixer-meta/wikipedia-languages-of-asia-official-languages.json;tools/mixer-meta/wikipedia-languages-of-south-asia.json;tools/mixer-meta/wikipedia-languages-of-southeast-asia.json;tools/mixer-meta/wikipedia-languages-of-west-asia.json	region:Asia	Wikipedia: Languages of Asia – official languages table;Wikipedia: Languages of South Asia – regional subset;Wikipedia: Languages of Southeast Asia – regional subset;Wikipedia: Languages of West Asia – regional subset	https://en.wikipedia.org/wiki/Languages_of_Asia;https://en.wikipedia.org/wiki/Languages_of_South_Asia;https://en.wikipedia.org/wiki/Languages_of_Southeast_Asia;https://en.wikipedia.org/wiki/West_Asia		0
yeyi	Yeyi	Africa	Niger-Congo	Niger-Congo	diacritics;hyphen		diacritics;hyphen	false	true	true	true	152,353,358	3	false		false	152,353,358	1	tools/mixer-meta/wikipedia-languages-of-africa-full.json;tools/mixer-meta/wikipedia-languages-of-africa-major.json	tools/mixer-meta/wikipedia-languages-of-africa-full.json	tools/mixer-meta/wikipedia-languages-of-africa-major.json	region:Africa	Wikipedia: Languages of Africa – full table snapshot;Wikipedia: Languages of Africa – major languages subset	https://en.wikipedia.org/wiki/Languages_of_Africa;https://en.wikipedia.org/wiki/Languages_of_Africa	Yeyi	1
yi	Yi	Sino-Tibetan region	Sino-Tibetan	Sino-Tibetan	apostrophe		apostrophe	false	true	true	true	106,107	2	false		false	106,107	2	tools/mixer-meta/wikipedia-gongduk-language.json;tools/mixer-meta/wikipedia-languages-of-china-spoken-languages.json	tools/mixer-meta/wikipedia-languages-of-china-spoken-languages.json	tools/mixer-meta/wikipedia-gongduk-language.json	category:Sino-Tibetan;family:Sino-Tibetan	Wikipedia: Gongduk language – Bhutan Sino-Tibetan microfamily representative;Wikipedia: Languages of China – spoken languages	https://en.wikipedia.org/wiki/Gongduk_language;https://en.wikipedia.org/wiki/Languages_of_China	Yi	1
yiddish	Yiddish	Europe	Germanic	Germanic				true	true	true	true	230	1	false		false	230	1	tools/mixer-meta/wikipedia-languages-of-europe.json;tools/mixer-meta/wikipedia-list-languages-by-native-speakers.json;tools/mixer-meta/wikipedia-list-lingua-francas-full.json;tools/mixer-meta/wikipedia-mutually-intelligible-languages-full.json	tools/mixer-meta/wikipedia-languages-of-europe.json;tools/mixer-meta/wikipedia-list-languages-by-native-speakers.json;tools/mixer-meta/wikipedia-list-lingua-francas-full.json;tools/mixer-meta/wikipedia-mutually-intelligible-languages-full.json		region:Europe	Wikipedia: Languages of Europe – regional subset;Wikipedia: List of languages by number of native speakers (seed subset);Wikipedia: List of lingua francas – full article list;Wikipedia: List of mutually intelligible languages – full article list	https://en.wikipedia.org/wiki/Languages_of_Europe;https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers;https://en.wikipedia.org/wiki/List_of_lingua_francas;https://en.wikipedia.org/wiki/List_of_mutually_intelligible_languages	Yiddish	4
yilan-creole-japanese	Yilan Creole Japanese	Misc	Creole	Japanese-based	creole	creole		false	true	true	true	12	1	false		false	12	9								0
yinjibarndi	Yinjibarndi	Australia	Australian Aboriginal	Australian Aboriginal	apostrophe;diacritics;hyphen		apostrophe;diacritics;hyphen	true	true	true	true	23,133,311,312	4	false		false	23,133,311,312	1								0
yipma	Yipma	Pacific	Papuan	Angan	space		space	false	true	true	true	25,193,263,369	4	false		false	25,193,263,369	1	tools/mixer-meta/wikipedia-languages-of-oceania.json		tools/mixer-meta/wikipedia-languages-of-oceania.json	category:Papuan;region:Pacific	Wikipedia: Languages of Oceania – Papuan & Pacific subset	https://en.wikipedia.org/wiki/Languages_of_Oceania		0
yitdut-bai-dialect	Yitdut Bai lect	Sino-Tibetan region	Sino-Tibetan	Bai	apostrophe		apostrophe	false	true	true	true	96,104,107	3	false		false	96,104,107	1	tools/mixer-meta/wikipedia-gongduk-language.json;tools/mixer-meta/wikipedia-languages-of-china-spoken-languages.json	tools/mixer-meta/wikipedia-languages-of-china-spoken-languages.json	tools/mixer-meta/wikipedia-gongduk-language.json	category:Sino-Tibetan	Wikipedia: Gongduk language – Bhutan Sino-Tibetan microfamily representative;Wikipedia: Languages of China – spoken languages	https://en.wikipedia.org/wiki/Gongduk_language;https://en.wikipedia.org/wiki/Languages_of_China	Yitdut dialect (Bai: Yit dut)	1
yitdut-bai-language	Yitdut Bai language	Sino-Tibetan region	Sino-Tibetan	Bai	apostrophe		apostrophe	false	true	true	true	81,104,107	3	false		false	81,104,107	1	tools/mixer-meta/wikipedia-gongduk-language.json;tools/mixer-meta/wikipedia-languages-of-china-spoken-languages.json	tools/mixer-meta/wikipedia-languages-of-china-spoken-languages.json	tools/mixer-meta/wikipedia-gongduk-language.json	category:Sino-Tibetan	Wikipedia: Gongduk language – Bhutan Sino-Tibetan microfamily representative;Wikipedia: Languages of China – spoken languages	https://en.wikipedia.org/wiki/Gongduk_language;https://en.wikipedia.org/wiki/Languages_of_China	Yitdut language/Jianchuan language (劍川語)	1
