list	list_title	list_source	name	iso	status	detail	candidates	in_catalog	in_mixer_map
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Central New Guinea Highlands		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	East Trans-Fly		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Etna Bay		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Kaki Ae-Kerema Bay		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Keram and Ramu Rivers		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Kibiri-Porome		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Lakes Plains		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Lower Sepik River		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Madang-Upper Yuat River		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Middle Yuat River		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Morehead River		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Nawa River		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Northwest New Guinea		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Oro-Wharton Range		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Papuan Gulf		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Pauwasi River		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Senagi		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Senu River		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Sepik River		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Torricelli Range-Sepik Coast		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	Trans-New Guinea		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-usher-suter-2024.json	Wikipedia: Papuan language families - Usher & Suter (2024)	https://en.wikipedia.org/wiki/Papuan_languages	West Papuan		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	West Timor-Alor-Pantar / East Timor-Bunaq		unmatched	No iso provided and name did not match any catalog entry		false	false
tools/mixer-meta/wikipedia-papuan-families-wichmann-2013.json	Wikipedia: Papuan language families - Wichmann (2013)	https://en.wikipedia.org/wiki/Papuan_languages	South Bougainville		unmatched	No iso provided and name did not match any catalog entry		false	false
