i|name|filename|seedCount|d|m|min|max|region|family|seeds25|reviewed
191|Mardijker Creole|namebases-asia.js|9|lnrt|0|4|11|Asia|Portuguese-based|NO|NO
192|Tetum|namebases-asia.js|10|lnrt|0|4|11|Southeast Asia|Malayo-Polynesian|NO|NO
193|Santali|namebases-asia.js|8|lnrt|0|4|11|Asia|Munda|NO|NO
194|Palaung|namebases-asia.js|8|lnrt|0|4|11|Asia|Palaungic|NO|NO
195|Abui|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Alor–Pantar|NO|NO
198|Asmat Citak|namebases-oceania.js|9|lnrt|0|4|11|Pacific|Asmat–Kamoro|NO|NO
199|Asmat-Kamoro|namebases-oceania.js|10|lnrt|0|4|11|||NO|NO
200|Becking-Dawi|namebases-oceania.js|8|lnrt|0|4|11|||NO|NO
202|Bimin|namebases-oceania.js|9|eo|0|4|11|Pacific|Ok–Oksapmin|NO|NO
203|Gadsup|namebases-oceania.js|10|r|0|4|11|Pacific|Kainantu–Goroka|NO|NO
204|Gahuku|namebases-oceania.js|8|lnrt|0|4|11|Pacific|Kainantu–Goroka|NO|NO
205|Gogodala|namebases-oceania.js|9|lnrt|0|4|11|Pacific|Gogodala–Suki|NO|NO
206|Awiyaana|namebases-oceania.js|10|s|0|4|11|Pacific|Kainantu–Goroka|NO|NO
207|Kasua|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Bosavi|NO|NO
208|Kamoro|namebases-oceania.js|5|lnrt|0|4|11|Pacific|Asmat–Kamoro|NO|NO
209|Kerewo|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Kiwaian|NO|NO
210|Kenati|namebases-oceania.js|9|r|0|4|11|Pacific|Kainantu–Goroka|NO|NO
211|Bunun|namebases-oceania.js|10|lnrt|0|4|11|Pacific|Austronesian|NO|NO
212|Bunun (Isbukun)|namebases-asia.js|5|lnrt|0|4|11|||NO|NO
213|Bunun (Northern-Central)|namebases-asia.js|10|lnrt|0|4|11|||NO|NO
214|Basay|namebases-oceania.js|11|lnrt|0|4|11|Pacific|Formosan|NO|NO
215|Babuza|namebases-oceania.js|12|lnrt|0|4|11|Pacific|Formosan|NO|NO
217|Atayal (Squliq)|namebases-asia.js|15|lnrt|0|4|11|||NO|NO
218|Atayal (Ts'ole')|namebases-asia.js|14|lnrt|0|4|11|||NO|NO
219|Bustocco-Legnanese|namebases-europe.js|13|lnrt|0|4|11|Europe|Western Lombard|NO|NO
220|Cadorino|namebases-europe.js|13|lnr|0|4|11|Europe|Ladin|NO|NO
221|Calabro|namebases-europe.js|13|lnrt|0|4|11|Europe|Calabrian|NO|NO
222|Campano|namebases-europe.js|13|cltr|0|4|11|Europe|Neapolitan|NO|NO
223|Campidanese|namebases-europe.js|13|nld|0|4|11|Europe|Sardinian|NO|NO
224|Canarian|namebases-europe.js|13|lr|0|4|11|Europe|Spanish|NO|NO
225|Akkala Sami|namebases-europe.js|13|akiut|0|4|11|Eurasia|Sami|NO|NO
226|Finnmark Sami|namebases-europe.js|13|lnrt|0|4|11|Eurasia|Northern Sami|NO|NO
227|Inari Sami|namebases-europe.js|13|lnrt|0|4|11|Eurasia|Inari Sami|NO|NO
228|Kainuu Sami|namebases-europe.js|13|akiut|0|4|11|Eurasia|Sami|NO|NO
229|Kemi Sami|namebases-europe.js|13|akiut|0|4|11|Eurasia|Sami|NO|NO
230|Kildin Sami|namebases-europe.js|13|lnrt|0|4|11|Eurasia|Kildin Sami|NO|NO
231|Lule Sami|namebases-europe.js|13|lnrt|0|4|11|Eurasia|Lule Sami|NO|NO
232|Catalan|namebases-europe.js|13|lnrt|0|4|11|Europe|Eastern|NO|NO
233|Cantabrian|namebases-europe.js|13|lr|0|4|11|Europe|Astur-Leonese|NO|NO
235|Castrapo|namebases-europe.js|10|lr|0|4|11|Europe|Spanish|NO|NO
236|Chuj|namebases-northAmerica.js|10|lnrt|0|4|11|Mesoamerica|Mayan|NO|NO
237|Rioplatense Spanish|namebases-southAmerica.js|10|lnrt|0|4|11|South America|Latin American|NO|NO
238|Tacana|namebases-southAmerica.js|10|lnrt|0|4|11|South America|Tacanan|NO|NO
239|Wiwa|namebases-southAmerica.js|10|lnrt|0|4|11|South America|Chibchan|NO|NO
241|Bulu|namebases-africa.js|8|lnrt|0|4|11|Africa|Niger-Congo|NO|NO
242|Busa|namebases-africa.js|8|lnrt|0|4|11|Africa|Niger-Congo|NO|NO
243|Bushong|namebases-africa.js|9|lnrt|0|4|11|Africa|Niger-Congo|NO|NO
244|Bwela|namebases-africa.js|9|lnrt|0|4|11|Africa|Niger-Congo|NO|NO
245|Buyu|namebases-africa.js|9|lnrt|0|4|11|Africa|Niger-Congo|NO|NO
246|Cameroonian Pidgin|namebases-africa.js|9|s|0|4|11|Africa|English-based|NO|NO
247|Cameroonian Pidgin English|namebases-africa.js|9|rs|0|4|11|Misc|English-based|NO|NO
248|Bole Tangale|namebases-africa.js|10|lnrt|0|4|11|||NO|NO
249|Tangale|namebases-africa.js|10|lnrt|0|4|11|Africa|Chadic|NO|NO
250|Dangaleat|namebases-africa.js|10|lnrt|0|4|11|||NO|NO
251|Yaeyama|namebases-asia.js|10|lnrt|0|4|11|Asia|Yaeyama Ryukyuan|NO|NO
252|Yonaguni|namebases-asia.js|8|lnrt|0|4|11|Asia|Yaeyama Ryukyuan|NO|NO
253|Yoron|namebases-asia.js|11|lnrt|0|4|11|Asia|Amami Ryukyuan|NO|NO
254|Yilan Creole Japanese|namebases-asia.js|10|lnrt|0|4|11|Misc|Japanese-based|NO|NO
255|Yokohama Pidgin Japanese|namebases-asia.js|10|lnrt|0|4|11|Misc|Pidgin|NO|NO
257|Norman|namebases-europe.js|10|nlrs|0|4|11|Europe|Oïl Dialects|NO|NO
258|Cauchois|namebases-europe.js|10|nlrs|0|4|11|Europe|Oïl Dialects|NO|NO
259|Augeron|namebases-europe.js|9|nlrs|0|4|11|Europe|Oïl Dialects|NO|NO
260|Cotentinais|namebases-europe.js|8|nlrs|0|4|11|Europe|Oïl Dialects|NO|NO
261|Auregnais|namebases-europe.js|10|nlrs|0|4|11|Europe|Oïl Dialects|NO|NO
262|Guernésiais|namebases-europe.js|9|nlrs|0|4|11|Europe|Oïl Dialects|NO|NO
263|Jèrriais|namebases-europe.js|10|nlrs|0|4|11|Europe|Oïl Dialects|NO|NO
264|Jersey Legal French|namebases-europe.js|9|nlrs|0|4|11|Europe|Oïl Dialects|NO|NO
265|Adeni Arabic|namebases-asia.js|9|lnrt|0|4|11|Middle East|Peninsular|NO|NO
266|Aleppine Arabic|namebases-asia.js|9|lnrt|0|4|11|Middle East|Levantine|NO|NO
267|Algerian Arabic|namebases-asia.js|10|lnrt|0|4|11|Middle East|Maghrebi|NO|NO
