i,name,file,seeds,d,m,min,max,region,family,reviewed
186,Tiwi,namebases-oceania.js,36,lnrt,0,4,11,Australia,Australian Aboriginal,[ ]
187,Ari (Papuan),namebases-oceania.js,36,lnrt,0,4,11,None,None,[ ]
188,Maguindanao,namebases-asia.js,41,lnrt,0,4,11,Asia,Austronesian,[ ]
189,Sotavento Creoles,namebases-asia.js,41,lnrs,0,4,11,Upper Guinea,Portuguese-based,[ ]
191,Mardijker Creole,namebases-asia.js,41,lnrs,0,4,11,Asia,Portuguese-based,[ ]
192,Tetum,namebases-asia.js,41,,0,4,11,Southeast Asia,Malayo-Polynesian,[ ]
193,Santali,namebases-asia.js,41,lnrt,0,4,11,Asia,Munda,[ ]
194,Palaung,namebases-asia.js,41,,0,4,11,Asia,Palaungic,[ ]
195,Abui,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Alor–Pantar,[ ]
198,Asmat Citak,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Asmat–Kamoro,[ ]
199,Asmat-Kamoro,namebases-oceania.js,36,lnrt,0,4,11,None,None,[ ]
200,Becking-Dawi,namebases-oceania.js,36,lnrt,0,4,11,None,None,[ ]
202,Bimin,namebases-oceania.js,36,eo,0,4,11,Pacific,Ok–Oksapmin,[ ]
203,Gadsup,namebases-oceania.js,36,r,0,4,11,Pacific,Kainantu–Goroka,[ ]
204,Gahuku,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Kainantu–Goroka,[ ]
205,Gogodala,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Gogodala–Suki,[ ]
206,Awiyaana,namebases-oceania.js,36,s,0,4,11,Pacific,Kainantu–Goroka,[ ]
207,Kasua,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Bosavi,[ ]
208,Kamoro,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Asmat–Kamoro,[ ]
209,Kerewo,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Kiwaian,[ ]
210,Kenati,namebases-oceania.js,36,r,0,4,11,Pacific,Kainantu–Goroka,[ ]
211,Bunun,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Austronesian,[ ]
212,Bunun (Isbukun),namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
213,Bunun (Northern-Central),namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
214,Basay,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Formosan,[ ]
215,Babuza,namebases-oceania.js,36,lnrt,0,4,11,Pacific,Formosan,[ ]
217,Atayal (Squliq),namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
218,Atayal (Ts'ole'),namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
219,Bustocco-Legnanese,namebases-europe.js,50,lnrt,0,4,11,Europe,Western Lombard,[ ]
220,Cadorino,namebases-europe.js,50,lnr,0,4,11,Europe,Ladin,[ ]
221,Calabro,namebases-europe.js,50,lnrt,0,4,11,Europe,Calabrian,[ ]
222,Campano,namebases-europe.js,50,cltr,0,4,11,Europe,Neapolitan,[ ]
223,Campidanese,namebases-europe.js,50,nld,0,4,11,Europe,Sardinian,[ ]
224,Canarian,namebases-europe.js,50,lr,0,4,11,Europe,Spanish,[ ]
225,Akkala Sami,namebases-europe.js,50,akiut,0,4,11,Eurasia,Sami,[ ]
226,Finnmark Sami,namebases-europe.js,50,akiut,0,4,11,Eurasia,Northern Sami,[ ]
227,Inari Sami,namebases-europe.js,50,akiut,0,4,11,Eurasia,Inari Sami,[ ]
228,Kainuu Sami,namebases-europe.js,50,akiut,0,4,11,Eurasia,Sami,[ ]
229,Kemi Sami,namebases-europe.js,50,akiut,0,4,11,Eurasia,Sami,[ ]
230,Kildin Sami,namebases-europe.js,50,akiut,0,4,11,Eurasia,Kildin Sami,[ ]
231,Lule Sami,namebases-europe.js,50,akiut,0,4,11,Eurasia,Lule Sami,[ ]
232,Catalan,namebases-europe.js,50,lnrs,0,4,11,Europe,Eastern,[ ]
233,Cantabrian,namebases-europe.js,50,lr,0,4,11,Europe,Astur-Leonese,[ ]
235,Castrapo,namebases-europe.js,50,lr,0,4,11,Europe,Spanish,[ ]
236,Chuj,namebases-northAmerica.js,41,kpt,0,4,11,Mesoamerica,Mayan,[ ]
237,Rioplatense Spanish,namebases-southAmerica.js,34,lnrs,0,4,11,South America,Latin American,[ ]
238,Tacana,namebases-southAmerica.js,34,lnrt,0,4,11,South America,Tacanan,[ ]
239,Wiwa,namebases-southAmerica.js,34,,0,4,11,South America,Chibchan,[ ]
241,Bulu,namebases-africa.js,25,lnrt,0,4,11,Africa,Niger-Congo,[ ]
242,Busa,namebases-africa.js,25,lnrt,0,4,11,Africa,Niger-Congo,[ ]
243,Bushong,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
244,Bwela,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
245,Buyu,namebases-africa.js,47,lnrt,0,4,11,Africa,Niger-Congo,[ ]
246,Cameroonian Pidgin,namebases-africa.js,47,s,0,4,11,Africa,English-based,[ ]
247,Cameroonian Pidgin English,namebases-africa.js,47,rs,0,4,11,Misc,English-based,[ ]
248,Bole Tangale,namebases-africa.js,47,lnrt,0,4,11,None,None,[ ]
249,Tangale,namebases-africa.js,47,lnrt,0,4,11,Africa,Chadic,[ ]
250,Dangaleat,namebases-africa.js,47,lnrt,0,4,11,None,None,[ ]
251,Yaeyama,namebases-asia.js,41,eo,0,4,11,Asia,Yaeyama Ryukyuan,[ ]
252,Yonaguni,namebases-asia.js,41,eo,0,4,11,Asia,Yaeyama Ryukyuan,[ ]
253,Yoron,namebases-asia.js,41,eo,0,4,11,Asia,Amami Ryukyuan,[ ]
