score	kind	iso	name	family	category	lexifier	base	baseName	baseTopFamily	baseTopShare	baseTotal
48.000	base_family_outlier	nkore	Nkore	Bantu	Niger-Congo		151	Sesotho	Niger-Congo	0.7384615384615385	65
48.000	base_family_outlier	sar	Sar	Central Sudanic	Nilo-Saharan		151	Sesotho	Niger-Congo	0.7384615384615385	65
48.000	base_family_outlier	siri	Siri (Chadic)	Chadic	Afroasiatic		151	Sesotho	Niger-Congo	0.7384615384615385	65
48.000	base_family_outlier	tsotsitaal	Tsotsitaal	Tswana-based	Creole	Tswana	151	Sesotho	Niger-Congo	0.7384615384615385	65
48.000	base_family_outlier	wali-sudan	Wali Sudan	Nilo-Saharan	Nilo-Saharan		151	Sesotho	Niger-Congo	0.7384615384615385	65
48.000	base_family_outlier	yulu	Yulu	Nilo-Saharan	Nilo-Saharan		151	Sesotho	Niger-Congo	0.7384615384615385	65
42.000	base_family_outlier	aringa	Aringa	Nilo-Saharan	Nilo-Saharan		152	Tswana	Niger-Congo	0.7777777777777778	54
42.000	base_family_outlier	bacama-language	Bacama alias	Chadic	Afroasiatic		152	Tswana	Niger-Congo	0.7777777777777778	54
42.000	base_family_outlier	birri	Birri	Nilo-Saharan	Nilo-Saharan		152	Tswana	Niger-Congo	0.7777777777777778	54
42.000	base_family_outlier	buwal-language	Buwal language	Chadic	Afroasiatic		152	Tswana	Niger-Congo	0.7777777777777778	54
42.000	base_family_outlier	furu	Furu	Nilo-Saharan	Nilo-Saharan		152	Tswana	Niger-Congo	0.7777777777777778	54
42.000	base_family_outlier	kiga	Kiga	Bantu	Niger-Congo		152	Tswana	Niger-Congo	0.7777777777777778	54
42.000	base_family_outlier	ngambay	Ngambay	Central Sudanic	Nilo-Saharan		152	Tswana	Niger-Congo	0.7777777777777778	54
42.000	base_family_outlier	pretoria-sotho	Pretoria Sotho	Sotho-Tswana-based	Creole	Sotho-Tswana	152	Tswana	Niger-Congo	0.7777777777777778	54
42.000	base_family_outlier	seychellois-creole	Seychellois Creole	French-based	Creole	French	152	Tswana	Niger-Congo	0.7777777777777778	54
42.000	base_family_outlier	siri	Siri (Chadic)	Chadic	Afroasiatic		152	Tswana	Niger-Congo	0.7777777777777778	54
42.000	base_family_outlier	tsotsitaal	Tsotsitaal	Tswana-based	Creole	Tswana	152	Tswana	Niger-Congo	0.7777777777777778	54
42.000	base_family_outlier	yangere	Yangere	Ubangian	Ubangian		152	Tswana	Niger-Congo	0.7777777777777778	54
36.000	base_family_outlier	baka	Baka	Nilo-Saharan	Nilo-Saharan		149	Zulu	Niger-Congo	0.7659574468085106	47
36.000	base_family_outlier	bemba	Bemba	Bantu	Niger-Congo		149	Zulu	Niger-Congo	0.7659574468085106	47
36.000	base_family_outlier	comorian	Comorian	Bantu	Niger-Congo		149	Zulu	Niger-Congo	0.7659574468085106	47
36.000	base_family_outlier	fanagalo	Fanagalo	Pidgin	Pidgin	Zulu	149	Zulu	Niger-Congo	0.7659574468085106	47
36.000	base_family_outlier	fongoro	Fongoro	Nilo-Saharan	Nilo-Saharan		149	Zulu	Niger-Congo	0.7659574468085106	47
36.000	base_family_outlier	fut	Fut	Grassfields Bantoid	Niger-Congo		149	Zulu	Niger-Congo	0.7659574468085106	47
36.000	base_family_outlier	lozi	Lozi	Bantu	Niger-Congo		149	Zulu	Niger-Congo	0.7659574468085106	47
36.000	base_family_outlier	massa-chadic	Massa	Chadic	Afroasiatic		149	Zulu	Niger-Congo	0.7659574468085106	47
36.000	base_family_outlier	pretoria-sotho	Pretoria Sotho	Sotho-Tswana-based	Creole	Sotho-Tswana	149	Zulu	Niger-Congo	0.7659574468085106	47
36.000	base_family_outlier	seychellois-creole	Seychellois Creole	French-based	Creole	French	149	Zulu	Niger-Congo	0.7659574468085106	47
36.000	base_family_outlier	zulu	Zulu	Bantu	Niger-Congo		149	Zulu	Niger-Congo	0.7659574468085106	47
34.000	base_family_outlier	aboriginal-pidgin-english	Aboriginal Pidgin English	English-based	Pidgin	English	312	Harari-Argobba	Australian Aboriginal	0.8717948717948718	39
34.000	base_family_outlier	harari	Harari	Harari-Argobba Ethio-Semitic	Afroasiatic		312	Harari-Argobba	Australian Aboriginal	0.8717948717948718	39
34.000	base_family_outlier	harari-east-gurage	Harari-East Gurage	Harari-Argobba Ethio-Semitic	Afroasiatic		312	Harari-Argobba	Australian Aboriginal	0.8717948717948718	39
34.000	base_family_outlier	rop	Kriol	English-based	Creole	English	312	Harari-Argobba	Australian Aboriginal	0.8717948717948718	39
34.000	base_family_outlier	torres-strait-creole	Torres Strait Creole	English-based	Creole	English	312	Harari-Argobba	Australian Aboriginal	0.8717948717948718	39
31.000	base_family_outlier	bata-language	Bata language	Chadic	Afroasiatic		155	Chichewa	Niger-Congo	0.8611111111111112	36
31.000	base_family_outlier	beli	Beli	Nilo-Saharan	Nilo-Saharan		155	Chichewa	Niger-Congo	0.8611111111111112	36
31.000	base_family_outlier	dinka	Dinka	Nilotic	Nilo-Saharan		155	Chichewa	Niger-Congo	0.8611111111111112	36
31.000	base_family_outlier	lusoga	Lusoga	Bantu	Niger-Congo		155	Chichewa	Niger-Congo	0.8611111111111112	36
31.000	base_family_outlier	masmaje-language	Masmaje language	Chadic	Afroasiatic		155	Chichewa	Niger-Congo	0.8611111111111112	36
29.000	base_family_outlier	aringa	Aringa	Nilo-Saharan	Nilo-Saharan		153	Kongo	Niger-Congo	0.7073170731707317	41
29.000	base_family_outlier	asoa	Asoa	Nilo-Saharan	Nilo-Saharan		153	Kongo	Niger-Congo	0.7073170731707317	41
29.000	base_family_outlier	avokaya	Avokaya	Nilo-Saharan	Nilo-Saharan		153	Kongo	Niger-Congo	0.7073170731707317	41
29.000	base_family_outlier	baldemu-language	Baldemu language	Chadic	Afroasiatic		153	Kongo	Niger-Congo	0.7073170731707317	41
