iso	name	region	family	category	score	issueCount	exampleBase	exampleBaseName	exampleReasons
kra	Kumhali	Asia	Indo-Aryan	Indo-Aryan	1.96	1	317	Kra	category(Indo-Aryan != Tai-Kadai, dom=0.98)
laiuse-romani	Laiuse Romani	Eurasia	Romani	Indo-Aryan	1.95	1	9	Finnic	category(Indo-Aryan != Uralic, dom=0.98)
kanak	Kanak	Pacific	Kanak languages	Austronesian	1.95	1	371	New Caledonia	category(Austronesian != Papuan, dom=0.97)
kgg	Kusunda	Asia	Kusunda	Kusunda isolate	1.94	1	56	Kiranti	category(Kusunda isolate != Sino-Tibetan, dom=0.97)
wym	Wymysorys	Europe	Germanic	Germanic	1.93	1	234	Romansh	category(Germanic != Romance, dom=0.96)
lss	Lasi	Asia	Iranian	Iranian	1.92	1	289	Sindhi	category(Iranian != Indo-Aryan, dom=0.96)
burushaski	Burushaski	Asia	Language isolate	Language isolate	1.89	1	55	Tamangic	category(Language isolate != Sino-Tibetan, dom=0.95)
saharan-spanish	Saharan Spanish	Africa	Spanish	Romance	1.88	1	17	Berber	category(Romance != Afroasiatic, dom=0.94)
tagdal	Tagdal	Africa	Nilo-Saharan	Nilo-Saharan	1.88	1	17	Berber	category(Nilo-Saharan != Afroasiatic, dom=0.94)
kowiai	Kowiai	Pacific	Austronesian	Austronesian	1.85	1	360	Papuan	category(Austronesian != Papuan, dom=0.93)
bsh	Kati	Asia	Nuristani	Indo-Iranian	1.85	1	288	Kashmiri	category(Indo-Iranian != Indo-Aryan, dom=0.93)
xvi	Kamviri	Asia	Nuristani	Indo-Iranian	1.85	1	288	Kashmiri	category(Indo-Iranian != Indo-Aryan, dom=0.93)
moghol	Moghol / Mogholi	Asia	Mongolic	Mongolic	1.85	1	58	Gyalrongic	category(Mongolic != Sino-Tibetan, dom=0.92)
pakistani-english	Pakistani English	Asia	Germanic	Germanic	1.84	1	203	Urdu	category(Germanic != Indo-Aryan, dom=0.92)
ydg	Yadgha	Asia	Iranian	Iranian	1.84	1	203	Urdu	category(Iranian != Indo-Aryan, dom=0.92)
big-flowery	Big Flowery	East Asia	West Hmongic	Hmong-Mien	1.82	1	47	Tibetan	category(Hmong-Mien != Sino-Tibetan, dom=0.91)
pingtang	Pingtang	East Asia	West Hmongic	Hmong-Mien	1.82	1	47	Tibetan	category(Hmong-Mien != Sino-Tibetan, dom=0.91)
amdang	Amdang	Africa	Fur	Nilo-Saharan	1.82	1	123	Bete	category(Nilo-Saharan != Niger-Congo, dom=0.91)
aringa	Aringa	Africa	Nilo-Saharan	Nilo-Saharan	1.80	1	118	Mandinka	category(Nilo-Saharan != Niger-Congo, dom=0.90)
buk	Bukawa	Pacific	Austronesian	Austronesian	1.80	1	520	North New Guinea	category(Austronesian != Papuan, dom=0.90)
north-new-guinea	North New Guinea	Pacific	Austronesian	Austronesian	1.80	1	520	North New Guinea	category(Austronesian != Papuan, dom=0.90)
sar	Sar	Africa	Central Sudanic	Nilo-Saharan	1.80	1	118	Mandinka	category(Nilo-Saharan != Niger-Congo, dom=0.90)
asoa	Asoa	Africa	Nilo-Saharan	Nilo-Saharan	1.78	1	150	Xhosa	category(Nilo-Saharan != Niger-Congo, dom=0.89)
daza	Daza	Africa	Saharan	Nilo-Saharan	1.78	1	150	Xhosa	category(Nilo-Saharan != Niger-Congo, dom=0.89)
kharia	Kharia	Asia	Munda	Austroasiatic	1.77	1	252	Lao	category(Austroasiatic != Tai-Kadai, dom=0.89)
kurichiya	Kurichiya	Asia	South Dravidian	Dravidian	1.77	1	252	Lao	category(Dravidian != Tai-Kadai, dom=0.89)
mundari	Mundari	Asia	Munda	Austroasiatic	1.77	1	252	Lao	category(Austroasiatic != Tai-Kadai, dom=0.89)
dongo	Dongo	Africa	Nilo-Saharan	Nilo-Saharan	1.77	1	147	Kinyarwanda	category(Nilo-Saharan != Niger-Congo, dom=0.88)
fur	Fur	Africa	Nilo-Saharan	Nilo-Saharan	1.77	1	147	Kinyarwanda	category(Nilo-Saharan != Niger-Congo, dom=0.88)
baka	Baka	Africa	Nilo-Saharan	Nilo-Saharan	1.74	1	149	Zulu	category(Nilo-Saharan != Niger-Congo, dom=0.87)
fongoro	Fongoro	Africa	Nilo-Saharan	Nilo-Saharan	1.74	1	149	Zulu	category(Nilo-Saharan != Niger-Congo, dom=0.87)
massa-chadic	Massa	Africa	Chadic	Afroasiatic	1.74	1	149	Zulu	category(Afroasiatic != Niger-Congo, dom=0.87)
