iso	name	langRegion	langFamily	langCategory	base	baseName	baseUses	dominantFamily	dominantFamilyDominance	dominantCategory	dominantCategoryDominance	dominantRegion	dominantRegionDominance	score	reasons
amdang	Amdang	Africa	Fur	Nilo-Saharan	123	Bete	11	Niger-Congo	0.8181818181818182	Niger-Congo	0.9090909090909091	Africa	1	1.8181818181818181	category(Nilo-Saharan != Niger-Congo, dom=0.91)
anindilyakwa	Anindilyakwa	Australia	Australian Aboriginal	Australian Aboriginal	3	Italian	116	Central Italian	0.08620689655172414	Romance	0.8362068965517241	Europe	0.853448275862069	0.853448275862069	region(Australia != Europe, dom=0.85)
aringa	Aringa	Africa	Nilo-Saharan	Nilo-Saharan	118	Mandinka	20	Niger-Congo	0.8	Niger-Congo	0.9	Africa	1	1.8	category(Nilo-Saharan != Niger-Congo, dom=0.90)
asoa	Asoa	Africa	Nilo-Saharan	Nilo-Saharan	150	Xhosa	27	Niger-Congo	0.8148148148148148	Niger-Congo	0.8888888888888888	Africa	1	1.7777777777777777	category(Nilo-Saharan != Niger-Congo, dom=0.89)
baka	Baka	Africa	Nilo-Saharan	Nilo-Saharan	149	Zulu	47	Niger-Congo	0.7659574468085106	Niger-Congo	0.8723404255319149	Africa	0.9148936170212766	1.7446808510638299	category(Nilo-Saharan != Niger-Congo, dom=0.87)
bardi	Bardi	Australia	Australian Aboriginal	Australian Aboriginal	3	Italian	116	Central Italian	0.08620689655172414	Romance	0.8362068965517241	Europe	0.853448275862069	0.853448275862069	region(Australia != Europe, dom=0.85)
bata-language	Bata language	Africa	Chadic	Afroasiatic	155	Chichewa	36	Niger-Congo	0.8611111111111112	Niger-Congo	0.8888888888888888	Africa	1	4.361111111111111	family(Chadic != Niger-Congo, dom=0.86); category(Afroasiatic != Niger-Congo, dom=0.89)
beli	Beli	Africa	Nilo-Saharan	Nilo-Saharan	150	Xhosa	27	Niger-Congo	0.8148148148148148	Niger-Congo	0.8888888888888888	Africa	1	1.7777777777777777	category(Nilo-Saharan != Niger-Congo, dom=0.89)
beli	Beli	Africa	Nilo-Saharan	Nilo-Saharan	155	Chichewa	36	Niger-Congo	0.8611111111111112	Niger-Congo	0.8888888888888888	Africa	1	4.361111111111111	family(Nilo-Saharan != Niger-Congo, dom=0.86); category(Nilo-Saharan != Niger-Congo, dom=0.89)
bomboma	Bomboma	Africa	Niger-Congo	Niger-Congo	17	Berber	81	Berber	0.3950617283950617	Afroasiatic	0.9382716049382716	Africa	0.4691358024691358	1.876543209876543	category(Niger-Congo != Afroasiatic, dom=0.94)
bomboma	Bomboma	Africa	Niger-Congo	Niger-Congo	141	Hadiyya	17	Berber	0.23529411764705882	Afroasiatic	0.8823529411764706	Africa	0.5294117647058824	1.7647058823529411	category(Niger-Congo != Afroasiatic, dom=0.88)
bul	Bulgarian	Europe	Eastern South Slavic	Slavic	372	Bulgarian	21	South Dravidian	0.5714285714285714	Dravidian	0.8571428571428571	Asia	0.8571428571428571	2.571428571428571	category(Slavic != Dravidian, dom=0.86); region(Europe != Asia, dom=0.86)
bundjalung	Bundjalung	Australia	Australian Aboriginal	Australian Aboriginal	3	Italian	116	Central Italian	0.08620689655172414	Romance	0.8362068965517241	Europe	0.853448275862069	0.853448275862069	region(Australia != Europe, dom=0.85)
